,log2FoldChange,padj,baseMean,t,P.Value,B
202043_s_at,0.692902607,0.000358562,10.70103571,4.083111121,0.000115528,0.158449143
241905_at,-0.584913448,0.000358703,9.812751286,-4.082967901,0.000115585,0.157971486
232923_at,0.652148663,0.000360006,3.592054857,4.081896077,0.000116017,0.154397152
1557965_at,-0.51776307,0.000360234,8.089038429,-4.081684309,0.000116103,0.153691014
212788_x_at,0.33311968,0.000360281,14.51339571,4.081616859,0.00011613,0.153466105
227772_at,-0.472962389,0.000360433,9.498494,-4.08146547,0.000116191,0.152961321
201870_at,0.660287931,0.000360516,7.675312143,4.081343881,0.00011624,0.152555907
237482_s_at,-0.406964365,0.000360516,3.728837571,-4.081339668,0.000116242,0.15254186
212353_at,-1.231986266,0.00036066,11.05532529,-4.081194717,0.0001163,0.152058559
227193_at,-0.723535265,0.000360728,7.428464714,-4.08111127,0.000116334,0.151780334
227238_at,2.059193507,0.00036155,6.967554571,4.080426977,0.000116611,0.149498914
218348_s_at,-0.322891505,0.000362931,9.052537143,-4.079275534,0.000117079,0.145660563
231647_s_at,1.521676484,0.000362931,5.418008,4.079270975,0.000117081,0.145645365
231857_s_at,0.738181548,0.000362947,6.043154857,4.079228108,0.000117099,0.145502481
215714_s_at,0.6347464,0.000363041,8.078039,4.079123918,0.000117141,0.145155198
218765_at,-0.443785694,0.0003638,7.510727,-4.078493329,0.000117398,0.143053453
1564053_a_at,1.350504373,0.00036384,7.164261429,4.078431936,0.000117423,0.14284884
212225_at,-0.354671665,0.000364412,5.295304429,-4.07795011,0.00011762,0.141243069
238686_at,0.681927115,0.000365288,6.830815143,4.077229829,0.000117915,0.138842824
209863_s_at,-1.789600723,0.00036531,3.873249429,-4.077182408,0.000117934,0.138684809
212000_at,-0.560835736,0.000365658,7.862278429,-4.076879211,0.000118059,0.137674528
202251_at,0.621240244,0.000366952,9.792319286,4.075832657,0.000118489,0.13418767
218839_at,-0.862200185,0.000366991,7.022136,-4.075772712,0.000118514,0.133987962
215691_x_at,0.491810967,0.000367663,11.05647657,4.075216042,0.000118743,0.13213352
